id,entry
158,2018-04-17 17-00-44 LAMPA_OFF -1 -1
159,2018-04-17 17-00-44 LAMPC_OFF -1 -1
160,2018-04-17 17-00-45 LAMPB_OFF -1 -1
161,2018-04-17 17-00-54 AWAKE_OFF -1 -1
162,2018-04-17 17-00-54 BALLASTS_OFF -1 -1
163,2018-04-18 17-57-23 AWAKE_ON -1 -1
164,2018-04-18 17-57-28 BALLASTS_ON 4 8
165,2018-04-18 17-57-28 LAMPA_ON 4 -1
166,2018-04-18 17-57-28 LAMPB_ON 4 -1
167,2018-04-18 17-57-28 LAMPC_ON 4 -1
168,2018-04-18 17-57-28 LAMPD_ON 4 -1
169,2018-04-18 17-57-34 AWAKE_OFF -1 -1
170,2018-04-18 17-57-34 BALLASTS_OFF -1 -1
171,2018-04-18 17-57-35 LAMPD_OFF -1 -1
172,2018-04-18 17-57-35 LAMPA_OFF -1 -1
173,2018-04-18 17-57-35 LAMPC_OFF -1 -1
174,2018-04-18 17-57-35 LAMPB_OFF -1 -1
175,2018-04-18 18-08-30 AWAKE_ON -1 -1
176,2018-04-18 18-08-35 BALLASTS_ON 4 9
177,2018-04-18 18-08-35 LAMPA_ON 4 -1
178,2018-04-18 18-08-35 LAMPB_ON 4 -1
179,2018-04-18 18-08-35 LAMPC_ON 4 -1
180,2018-04-18 18-08-35 LAMPD_ON 4 -1
181,2018-04-18 18-08-41 AWAKE_OFF -1 -1
182,2018-04-18 18-08-41 BALLASTS_OFF -1 -1
183,2018-04-18 18-08-42 LAMPD_OFF -1 -1
184,2018-04-18 18-08-42 LAMPA_OFF -1 -1
185,2018-04-18 18-08-42 LAMPC_OFF -1 -1
186,2018-04-18 18-08-42 LAMPB_OFF -1 -1
187,2018-04-23 23-42-24 AWAKE_ON -1 -1
188,2018-04-23 23-42-29 BALLASTS_ON 4 10
189,2018-04-23 23-42-29 LAMPA_ON 4 -1
190,2018-04-23 23-42-29 LAMPB_ON 4 -1
191,2018-04-23 23-42-29 LAMPC_ON 4 -1
192,2018-04-23 23-42-29 LAMPD_ON 4 -1
193,2018-04-23 23-42-39 AWAKE_OFF -1 -1
194,2018-04-23 23-42-39 BALLASTS_OFF -1 -1
195,2018-04-23 23-42-39 LAMPD_OFF -1 -1
196,2018-04-23 23-42-39 LAMPA_OFF -1 -1
197,2018-04-23 23-42-39 LAMPC_OFF -1 -1
198,2018-04-23 23-42-40 LAMPB_OFF -1 -1
199,2018-04-24 21-14-35 AWAKE_ON -1 -1
